# synthetic calibration data; truth values below use SI units
# truth,joint_1.d,0.00215
# truth,joint_1.zero,0.00175
# truth,joint_2.a,-0.00255
# truth,joint_2.zero,-0.00215
# truth,joint_3.a,0.00295
# truth,joint_3.zero,0.00255
# truth,joint_4.d,-0.00335
# truth,joint_4.zero,-0.00295
# truth,joint_5.d,0.00175
# truth,joint_5.zero,0.00335
# truth,joint_6.zero,-0.00175
# truth,tool.x,-0.00215
# truth,tool.y,0.00255
# truth,tool.z,-0.00295
sample_id,q_joint_1,q_joint_2,q_joint_3,q_joint_4,q_joint_5,q_joint_6,px,py,pz,qx,qy,qz,qw,weight
synthetic_1,-0.0160674285240265,0.356799308460396,1.19961266126425,2.20179277661716,0.430069332914657,-1.42921276794917,0.26624922958658,-0.191344407383538,0.873893800423806,0.349932518264801,-0.506501891631325,0.762119160437103,0.200443138394384,1
synthetic_2,1.11197341250266,0.410069098413849,1.43281146910449,-1.0304803475984,1.58795491265743,4.40037732037058,0.21206168196691,0.163399093813712,0.65621780619187,0.704323214110419,0.604952245541916,-0.345708642296821,0.135820194817456,1
synthetic_3,1.55613477199196,-0.734632499223916,0.905201810993639,1.58762525044635,0.940706376461779,2.10930160128992,0.16877841896097,0.606764225426552,0.190881261250242,-0.438069718558756,0.84034489242952,-0.0774444791988833,0.309705886432733,1
synthetic_4,-1.6876005029863,0.0374309371845019,1.40096755400682,-0.0809441556702186,-0.252237340424648,-4.79786582739264,-0.243145248746378,-0.431551150585673,0.667801500848152,-0.378221651153973,-0.486443384095821,0.444809351148147,0.649973736237806,1
synthetic_5,-0.109446645027474,-1.02476936869505,1.66811468383688,-2.0199241315028,-1.06823830368312,-4.62728211336515,0.266579920810436,-0.185798185417677,0.203443620849068,0.957060421099358,-0.115732873464424,0.0896542214724262,0.250206660456832,1
synthetic_6,2.16130684776556,-0.509137895815895,-0.299001171584153,1.23931479251723,-1.50458888811304,2.92816328305534,-0.219372920003476,0.541912722979217,-0.00643773574881293,-0.508253883522472,-0.185294121060737,0.139147906007508,0.829446766729716,1
synthetic_7,0.105255887878178,0.0523225780796837,-1.85663580039043,1.90991498226297,-0.785449825519823,-4.81910727389043,0.335728706682199,-0.138190136031001,0.06453266422094,0.645461163654717,-0.217146775294723,0.685387009557341,0.257821277870247,1
synthetic_8,-1.45722894138654,-1.15233450442839,-1.1715723204572,1.15355756467567,-0.104448556746481,0.491730838399766,-0.208720325537911,0.11902732726075,-0.123371849227679,0.689855932598774,-0.265650471031761,-0.583691891666987,0.335905336517736,1
synthetic_9,1.07823366050868,-1.30868214242983,0.123536393445975,0.937459955668559,0.421133562475297,-1.20663509958605,0.225205679099776,0.0234926448058585,-0.23650867330221,0.332101151558541,0.582003856705984,-0.278789143284179,0.687936733646143,1
synthetic_10,-1.94211980696114,1.22270912265156,1.44192432652244,2.45393934144125,-1.08000322319216,2.59418915228439,-0.0721320373457397,0.236589949228058,0.717040653490702,-0.0363636553717777,0.950526465692912,-0.0679752877534482,-0.300926042143549,1
