time,q_shoulder,dq_shoulder,ddq_shoulder,tau_shoulder,q_elbow,dq_elbow,ddq_elbow,tau_elbow
0,0,1.404,-0,-19.1764966719,0.251277512187,1.52679581918,-0.520386099893,-4.00116539516
0.005,0.00701988210789,1.40392926508,-0.0282936268224,-19.2372910583,0.258904824824,1.52409690899,-0.559177613596,-4.00466703335
0.01,0.0140390568837,1.40371707059,-0.0565831397197,-19.2961561944,0.266518158031,1.52120405206,-0.597963712771,-4.0073073526
0.015,0.0210568170981,1.40336344739,-0.084864425469,-19.3530770001,0.27411654217,1.51811729171,-0.63673790381,-4.00909322676
0.02,0.0280724557276,1.4028684469,-0.113133372252,-19.4080396302,0.2816990079,1.5148367037,-0.67549368764,-4.01003207981
0.025,0.0350852660571,1.40223214108,-0.141385870356,-19.4610314848,0.28926458634,1.51136239635,-0.714224560991,-4.01013187507
0.03,0.0420945417826,1.40145462245,-0.169617812877,-19.5120412178,0.296812309231,1.50769451046,-0.752924017671,-4.00940110399
0.035,0.0490995771142,1.40053600405,-0.197825096419,-19.5610587446,0.3043412091,1.50383321938,-0.791585549833,-4.00784877433
0.04,0.0560996668783,1.39947641942,-0.226003621796,-19.6080752476,0.311850319424,1.49977872901,-0.83020264925,-4.00548439781
0.045,0.0630941066203,1.39827602259,-0.25414929473,-19.6530831813,0.319338674787,1.49553127779,-0.868768808589,-4.00231797731
0.05,0.0700821927069,1.39693498804,-0.282258026549,-19.6960762757,0.32680531105,1.49109113667,-0.907277522685,-3.99835999356
0.055,0.0770632224282,1.3954535107,-0.31032573489,-19.7370495382,0.334249265508,1.48645860914,-0.945722289813,-3.99362139134
0.06,0.0840364941002,1.39383180586,-0.338348344388,-19.7759992543,0.341669577056,1.48163403118,-0.984096612965,-3.98811356533
0.065,0.091001307166,1.3920701092,-0.366321787377,-19.8129229871,0.349065286348,1.47661777123,-1.02239400112,-3.98184834548
0.07,0.097956962298,1.3901686767,-0.394242004581,-19.8478195749,0.356435435964,1.4714102302,-1.06060797052,-3.97483798207
0.075,0.104902761499,1.38812778461,-0.42210494581,-19.8806891289,0.363779070569,1.46601184135,-1.09873204595,-3.96709513036
0.08,0.111838008204,1.38594772943,-0.449906570646,-19.9115330273,0.371095237072,1.46042307034,-1.13675976197,-3.95863283494
0.085,0.118762007382,1.38362882782,-0.477642849135,-19.9403539107,0.378382984796,1.45464441509,-1.17468466425,-3.94946451377
0.09,0.125674065632,1.38117141655,-0.505309762474,-19.967155674,0.385641365631,1.44867640579,-1.21250031079,-3.93960394199
0.095,0.132573491291,1.37857585248,-0.532903303695,-19.9919434585,0.3928694342,1.44251960479,-1.25020027317,-3.92906523543
